request_id,category,description,location_id,location_name,urgency,status,submission_time
SR001,Plumbing,Blocked toilet,L026,Medical School,Medium,Pending,2026-03-15 10:53
SR002,Security,Suspicious activity,L033,Volta Hall,High,Pending,2026-02-28 09:45
SR003,IT Support,Smart board failure,L028,Legon Hall,High,In Progress,2026-02-03 09:06
SR004,Security,Emergency assistance,L004,Registry,Low,Pending,2026-04-25 11:48
SR005,Cleaning,Classroom cleaning,L035,Diaspora Halls,High,Assigned,2026-04-20 12:36
SR006,Security,Traffic control,L041,Athletic Oval,High,Pending,2026-04-07 10:06
SR007,IT Support,Smart board failure,L014,Centre for Remote Sensing & GIS,Medium,In Progress,2026-04-15 17:59
SR008,Security,Emergency assistance,L024,UG Hospital,Medium,Completed,2026-04-05 14:35
SR009,Security,Broken gate,L034,Jean Nelson Aka Hall,Medium,Assigned,2026-03-04 17:08
SR010,IT Support,Projector not working,L033,Volta Hall,Medium,Completed,2026-01-25 22:56
SR011,IT Support,Projector not working,L049,University Guest Centre,Medium,Completed,2026-04-20 17:51
SR012,Transport,Road blockage,L039,Banking Square,Medium,Completed,2026-01-14 09:47
SR013,Cleaning,Overflowing dustbin,L004,Registry,Low,Assigned,2026-03-20 21:48
SR014,Transport,Accident on campus,L043,Shuttle Terminal,Medium,Completed,2026-02-20 13:09
SR015,IT Support,Printer malfunction,L004,Registry,High,Pending,2026-04-10 14:55
SR016,Cleaning,Drainage cleaning,L006,Balme Library,High,Assigned,2026-02-10 12:22
SR017,Cleaning,Hostel sanitation,L046,Fire Station,Medium,Assigned,2026-04-29 19:44
SR018,Electrical,Power outage,L012,Department of Chemistry,High,In Progress,2026-01-07 23:23
SR019,Security,Lost student ID,L017,School of Performing Arts,Medium,Pending,2026-03-15 19:09
SR020,Security,Broken gate,L009,ICT Directorate,Medium,In Progress,2026-03-26 08:59
SR021,Facility Maintenance,Ceiling repair,L026,Medical School,Medium,Assigned,2026-03-08 19:33
SR022,Electrical,Power outage,L014,Centre for Remote Sensing & GIS,Medium,Pending,2026-03-23 08:36
SR023,IT Support,Smart board failure,L010,Department of Mathematics,Medium,Completed,2026-03-25 07:34
SR024,Facility Maintenance,Damaged windows,L040,Central Cafeteria,Medium,In Progress,2026-02-19 19:00
SR025,IT Support,Projector not working,L032,Commonwealth Hall,Low,Assigned,2026-03-08 16:35
SR026,Electrical,Power outage,L048,Staff Village Junction,Medium,Pending,2026-04-22 13:03
SR027,IT Support,Wi-Fi failure,L034,Jean Nelson Aka Hall,Medium,In Progress,2026-05-03 08:18
SR028,Security,Broken gate,L042,Sports Directorate,Low,In Progress,2026-02-08 19:28
SR029,Electrical,Broken electrical socket,L050,Cedi Conference Centre,High,In Progress,2026-03-11 18:10
SR030,Electrical,Air conditioner failure,L049,University Guest Centre,Low,Completed,2026-04-20 20:17
SR031,Facility Maintenance,Damaged windows,L013,Department of Earth Science,Medium,Assigned,2026-01-09 08:20
SR032,Plumbing,Low water pressure,L017,School of Performing Arts,High,In Progress,2026-02-19 22:21
SR033,Transport,Road blockage,L024,UG Hospital,High,Pending,2026-03-07 13:51
SR034,Electrical,Generator maintenance,L040,Central Cafeteria,Low,In Progress,2026-01-06 23:28
SR035,Transport,Road blockage,L042,Sports Directorate,High,In Progress,2026-05-02 20:20
SR036,Transport,Request for shuttle service,L031,Mensah Sarbah Hall,Low,Assigned,2026-03-28 17:35
SR037,Facility Maintenance,Roof leakage,L030,Akuafo Hall,Medium,Completed,2026-04-08 12:40
SR038,Electrical,Power outage,L010,Department of Mathematics,Medium,Assigned,2026-03-30 12:09
SR039,Facility Maintenance,Ceiling repair,L031,Mensah Sarbah Hall,Medium,Assigned,2026-03-17 11:31
SR040,IT Support,Projector not working,L034,Jean Nelson Aka Hall,Low,Pending,2026-04-27 14:22
SR041,Facility Maintenance,Damaged windows,L002,Legon Main Entrance,Medium,Pending,2026-02-05 17:46
SR042,Security,Emergency assistance,L009,ICT Directorate,High,Completed,2026-04-30 22:12
SR043,Security,Traffic control,L027,Dental School,Low,Completed,2026-01-22 12:03
SR044,Security,Suspicious activity,L029,Legon Hall Annex A,Low,In Progress,2026-04-15 11:41
SR045,Electrical,Generator maintenance,L040,Central Cafeteria,Low,In Progress,2026-02-16 23:20
SR046,Facility Maintenance,Broken classroom chairs,L036,Jubilee Hall,High,Pending,2026-01-11 11:02
SR047,Cleaning,Overflowing dustbin,L049,University Guest Centre,Low,Pending,2026-02-16 14:14
SR048,Plumbing,Low water pressure,L033,Volta Hall,Medium,Assigned,2026-02-06 16:29
SR049,Security,Lost student ID,L029,Legon Hall Annex A,High,Pending,2026-03-03 17:34
SR050,Transport,Request for shuttle service,L028,Legon Hall,High,In Progress,2026-04-16 11:27
SR051,Facility Maintenance,Damaged windows,L046,Fire Station,Medium,Assigned,2026-02-07 11:59
