RequestID,Category,Description,Location,Urgency,Status,SubmittedTime,Deadline,AssignedResource
SR001,IT Support,Projector not working,L042,Low,Assigned,12:15,17:15,RES039
SR002,Electrical,AC unit not powering on,L041,Medium,Completed,15:20,18:20,RES026
SR003,Security,CCTV malfunction,L013,Medium,Completed,07:10,10:10,RES047
SR004,IT Support,Projector not working,L026,Medium,Pending,13:20,16:20,
SR005,Facility Maintenance,Window pane cracked,L005,High,Completed,17:30,18:30,RES008
SR006,Plumbing,Water leakage,L032,Medium,Completed,12:25,15:25,RES045
SR007,Transport,Vehicle blocking road,L044,Low,Pending,10:25,15:25,
SR008,Facility Maintenance,Broken chair,L007,Medium,Completed,12:15,15:15,RES031
SR009,Transport,Shuttle delay,L026,Medium,Assigned,11:20,14:20,RES019
SR010,Transport,Vehicle blocking road,L028,High,Assigned,14:10,15:10,RES005
SR011,Security,Broken door lock,L011,Low,In Progress,18:05,23:05,RES045
SR012,Cleaning,Spill needs cleanup,L034,Low,Completed,08:20,13:20,RES049
SR013,IT Support,Smart board unresponsive,L027,Medium,Pending,14:35,17:35,
SR014,Facility Maintenance,Door hinge broken,L011,Medium,Assigned,15:40,18:40,RES020
SR015,Security,Unauthorized access attempt,L013,Medium,Completed,16:40,19:40,RES019
SR016,Transport,Parking barrier stuck,L030,Medium,In Progress,11:30,14:30,RES044
SR017,Plumbing,No water supply,L018,Medium,Assigned,11:20,14:20,RES001
SR018,Electrical,Faulty socket,L002,Medium,Pending,15:55,18:55,
SR019,Transport,Shuttle delay,L005,High,Assigned,14:40,15:40,RES028
SR020,Security,Missing property report,L004,Low,In Progress,16:30,21:30,RES047
SR021,Transport,Shuttle delay,L032,High,Assigned,09:50,10:50,RES007
SR022,Cleaning,Overflowing dustbin,L031,Medium,Completed,14:05,17:05,RES040
SR023,Cleaning,Spill needs cleanup,L014,Medium,Assigned,18:45,21:45,RES006
SR024,Facility Maintenance,Elevator not working,L009,Low,Completed,14:50,19:50,RES002
SR025,Electrical,Faulty socket,L048,Low,Completed,12:50,17:50,RES035
SR026,Plumbing,Water leakage,L015,Medium,In Progress,15:50,18:50,RES032
SR027,Cleaning,Restroom needs cleaning,L007,Low,Assigned,16:30,21:30,RES010
SR028,Security,Lost student ID,L038,Medium,In Progress,09:20,12:20,RES011
SR029,Cleaning,Litter in corridor,L010,Medium,Assigned,18:50,21:50,RES016
SR030,Plumbing,No water supply,L026,Low,Pending,10:55,15:55,
SR031,Security,Suspicious person reported,L023,Low,Completed,16:05,21:05,RES012
SR032,IT Support,Printer out of toner,L009,High,Completed,12:20,13:20,RES034
SR033,Transport,Parking barrier stuck,L046,Medium,Assigned,12:05,15:05,RES018
SR034,Electrical,Faulty socket,L045,Medium,Pending,07:30,10:30,
SR035,Electrical,AC unit not powering on,L023,Medium,Pending,17:45,20:45,
SR036,Transport,Shuttle delay,L024,Medium,Cancelled,08:50,11:50,
SR037,Facility Maintenance,Window pane cracked,L019,Medium,Completed,17:55,20:55,RES042
SR038,Transport,Request for shuttle pickup,L038,Low,Assigned,16:55,21:55,RES029
SR039,Cleaning,Stain on carpet,L027,Medium,In Progress,11:50,14:50,RES013
SR040,Facility Maintenance,Broken chair,L018,High,Assigned,18:55,19:55,RES018
SR041,IT Support,Projector not working,L029,High,Pending,12:35,13:35,
SR042,Transport,Parking barrier stuck,L036,Medium,Pending,07:30,10:30,
SR043,Plumbing,Water leakage,L041,Low,Assigned,16:00,21:00,RES034
SR044,Plumbing,Toilet not flushing,L017,Medium,Pending,17:15,20:15,
SR045,Security,Suspicious person reported,L032,Medium,In Progress,16:05,19:05,RES011
SR046,Electrical,Circuit breaker tripped,L008,Medium,Pending,09:05,12:05,
SR047,Transport,Vehicle blocking road,L020,Medium,Pending,15:30,18:30,
SR048,Transport,Shuttle route inquiry,L017,High,In Progress,09:05,10:05,RES026
SR049,Electrical,Power outage in block,L033,High,Assigned,08:05,09:05,RES050
SR050,Electrical,Flickering lights,L048,Medium,Completed,12:10,15:10,RES049
SR051,IT Support,Printer out of toner,L043,Low,Pending,11:45,16:45,
SR052,Transport,Shuttle delay,L050,Low,In Progress,17:35,22:35,RES029
SR053,IT Support,Printer out of toner,L024,Medium,Pending,16:30,19:30,
SR054,Plumbing,Water leakage,L025,Medium,Assigned,13:45,16:45,RES013
SR055,Transport,Parking barrier stuck,L049,Medium,Assigned,12:00,15:00,RES006
SR056,Electrical,Faulty socket,L037,High,Assigned,07:05,08:05,RES032
SR057,Facility Maintenance,Elevator not working,L014,Low,Assigned,13:10,18:10,RES022
SR058,Cleaning,Litter in corridor,L049,Medium,Completed,11:50,14:50,RES025
SR059,Security,Missing property report,L022,High,Completed,08:45,09:45,RES011
SR060,Transport,Shuttle route inquiry,L036,Medium,Cancelled,17:25,20:25,
SR061,Plumbing,Toilet not flushing,L016,High,Pending,15:30,16:30,
SR062,Electrical,Faulty socket,L019,High,Assigned,12:00,13:00,RES017
SR063,Electrical,Circuit breaker tripped,L004,Medium,Completed,15:05,18:05,RES004
SR064,Security,Suspicious person reported,L041,Medium,Pending,12:55,15:55,
SR065,Security,Lost student ID,L019,High,Assigned,14:40,15:40,RES027
SR066,Facility Maintenance,Window pane cracked,L046,Medium,Assigned,15:40,18:40,RES049
SR067,Cleaning,Overflowing dustbin,L039,Low,Completed,10:05,15:05,RES027
SR068,Plumbing,Blocked drain,L050,Medium,Completed,17:15,20:15,RES026
SR069,Transport,Shuttle route inquiry,L042,Medium,Completed,07:05,10:05,RES035
SR070,Cleaning,Overflowing dustbin,L013,Medium,Assigned,16:15,19:15,RES024
SR071,Electrical,Faulty socket,L036,High,Assigned,12:20,13:20,RES024
SR072,Transport,Parking barrier stuck,L034,Low,Completed,15:35,20:35,RES043
SR073,Transport,Shuttle breakdown,L018,Medium,Assigned,11:05,14:05,RES047
SR074,Transport,Parking barrier stuck,L040,Medium,Completed,07:45,10:45,RES039
SR075,Transport,Vehicle blocking road,L036,High,In Progress,11:10,12:10,RES022
SR076,Security,Lost student ID,L036,High,Completed,07:40,08:40,RES013
SR077,Facility Maintenance,Elevator not working,L047,Medium,Completed,11:35,14:35,RES035
SR078,Transport,Vehicle blocking road,L042,Medium,Assigned,14:10,17:10,RES050
