ID,Location
L001,Main Gate
L002,Legon Main Entrance
L003,University Square
L004,Registry
L005,Great Hall
L006,Balme Library
L007,Computer Science Department
L008,School of Engineering Sciences
L009,ICT Directorate
L010,Department of Mathematics
L011,Department of Physics
L012,Department of Chemistry
L013,Department of Earth Science
L014,Centre for Remote Sensing & GIS
L015,Institute for Environment & Sanitation Studies
L016,School of Communication Studies
L017,School of Performing Arts
L018,University of Ghana Business School
L019,School of Law
L020,Graduate School
L021,Department of Plant & Environmental Biology
L022,School of Biological Sciences
L023,WACCBIP
L024,UG Hospital
L025,School of Public Health
L026,Medical School
L027,Dental School
L028,Legon Hall
L029,Legon Hall Annex A
L030,Akuafo Hall
L031,Mensah Sarbah Hall
L032,Commonwealth Hall
L033,Volta Hall
L034,Jean Nelson Aka Hall
L035,Diaspora Halls
L036,Jubilee Hall
L037,Bush Canteen
L038,Night Market
L039,Banking Square
L040,Central Cafeteria
L041,Athletic Oval
L042,Sports Directorate
L043,Shuttle Terminal
L044,Maintenance Workshop
L045,Security Services HQ
L046,Fire Station
L047,Visitor Car Park
L048,Staff Village Junction
L049,University Guest Centre
L050,Cedi Conference Centre
